surgery,TARGET_phase1,TARGET_phase2,TARGET_prec
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
Rotator Cuff Repair,"[""Sling immobilization"", ""Pendulum exercises"", ""Passive ROM only""]","[""Active assisted ROM"", ""Pulley exercises"", ""Isometrics""]","[""No active abduction"", ""No lifting objects""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Total Knee Replacement,"[""Heel slides"", ""Ankle pumps"", ""Weight bearing as tolerated""]","[""Wall slides"", ""Step ups"", ""Improve flexion > 90 deg""]","[""Avoid kneeling"", ""No heavy lifting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
Hip Arthroplasty,"[""Ankle pumps"", ""Glute sets"", ""Weight bearing as tolerated""]","[""Bridging"", ""Clamshells"", ""Gait training""]","[""No hip flexion > 90 deg"", ""No crossing legs""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
ACL Reconstruction,"[""Reduce swelling"", ""Restore full extension"", ""Quad sets 3x/day""]","[""Begin closed chain exercises"", ""Stationary bike"", ""Mini squats""]","[""Avoid open chain knee extension"", ""No pivoting""]"
